epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5476,2.00047,7.25581,2.57717,0,0,0,0,1.1848,4.51877,1.90966,3.05571e-05,3.05571e-05,3.05571e-05
2,31.0054,1.17361,6.3663,1.61315,0.00624,0.35938,0.02165,0.0159,0.90136,4.06823,1.55549,6.11509e-05,6.11509e-05,6.11509e-05
3,46.7662,1.05466,6.04489,1.48191,0.00724,0.625,0.02469,0.01773,1.0862,3.79298,1.75023,9.13354e-05,9.13354e-05,9.13354e-05
4,62.6035,1.02369,5.93902,1.44411,0.00807,0.62847,0.05686,0.04449,0.94851,3.77606,1.57986,9.11586e-05,9.11586e-05,9.11586e-05
5,78.359,0.98118,5.82964,1.40067,0.60453,0.09375,0.05996,0.04794,0.88725,3.51304,1.47901,9.05448e-05,9.05448e-05,9.05448e-05
6,94.1049,0.97751,5.75283,1.39923,0.00921,0.78125,0.07078,0.05764,0.87561,3.44494,1.47113,8.9931e-05,8.9931e-05,8.9931e-05
7,109.482,0.92385,5.60442,1.34414,0.54302,0.17346,0.13171,0.10617,0.8122,3.24409,1.40403,8.93172e-05,8.93172e-05,8.93172e-05
8,124.928,0.90753,5.5292,1.31957,0.59183,0.17287,0.11464,0.09538,0.75551,3.19071,1.34363,8.87034e-05,8.87034e-05,8.87034e-05
9,140.348,0.92635,5.48031,1.33091,0.50571,0.1879,0.1337,0.11047,0.80287,3.20426,1.37792,8.80896e-05,8.80896e-05,8.80896e-05
10,156.093,0.8784,5.53081,1.32542,0.59775,0.19792,0.23633,0.2007,0.78578,2.94383,1.36571,8.74758e-05,8.74758e-05,8.74758e-05
11,171.54,0.9086,5.3147,1.3169,0.53745,0.18319,0.17318,0.14933,0.72681,2.93756,1.34023,8.6862e-05,8.6862e-05,8.6862e-05
12,187.024,0.83854,5.11594,1.25832,0.50213,0.25846,0.24366,0.20626,0.76374,2.81993,1.34498,8.62482e-05,8.62482e-05,8.62482e-05
13,202.477,0.82832,5.04895,1.25418,0.51658,0.30289,0.27364,0.24005,0.70666,2.69991,1.28937,8.56344e-05,8.56344e-05,8.56344e-05
14,217.846,0.81827,5.11525,1.25721,0.65546,0.2565,0.32469,0.28043,0.74173,2.63574,1.32338,8.50206e-05,8.50206e-05,8.50206e-05
15,233.164,0.83595,4.91542,1.26591,0.49192,0.39583,0.37357,0.32401,0.68212,2.61309,1.26586,8.44068e-05,8.44068e-05,8.44068e-05
